"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","902514"
"eastern cape","Pfizer","1314405"
"free state","Johnson & Johnson","479976"
"free state","Pfizer","661418"
"gauteng","Johnson & Johnson","1506224"
"gauteng","Pfizer","3852921"
"kwazulu-natal","Johnson & Johnson","1212055"
"kwazulu-natal","Pfizer","1934391"
"limpopo","Johnson & Johnson","1063681"
"limpopo","Pfizer","1023263"
"mpumalanga","Johnson & Johnson","800122"
"mpumalanga","Pfizer","557539"
"northern cape","Johnson & Johnson","211290"
"northern cape","Pfizer","220437"
"north west","Johnson & Johnson","704256"
"north west","Pfizer","611454"
"western cape","Johnson & Johnson","738954"
"western cape","Pfizer","2099943"
