"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","149326","47432","416942"
"EASTERN CAPE","12-17","Male","121368","32575","429096"
"FREE STATE","12-17","Female","91359","41014","161705"
"FREE STATE","12-17","Male","77410","30340","162847"
"GAUTENG","12-17","Female","212023","89592","649047"
"GAUTENG","12-17","Male","173916","68719","648920"
"KWAZULU-NATAL","12-17","Female","159356","61908","647510"
"KWAZULU-NATAL","12-17","Male","111777","39247","658202"
"LIMPOPO","12-17","Female","140052","45027","352420"
"LIMPOPO","12-17","Male","117576","33121","372427"
"MPUMALANGA","12-17","Female","75632","22654","257710"
"MPUMALANGA","12-17","Male","63043","16303","259479"
"NORTHERN CAPE","12-17","Female","17373","5389","69852"
"NORTHERN CAPE","12-17","Male","13947","4000","69047"
"NORTH WEST","12-17","Female","82552","27774","221385"
"NORTH WEST","12-17","Male","68433","20095","223092"
"WESTERN CAPE","12-17","Female","70624","27353","320269"
"WESTERN CAPE","12-17","Male","60143","22757","322848"
