"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","924384"
"eastern cape","Pfizer","1368209"
"free state","Johnson & Johnson","489442"
"free state","Pfizer","686774"
"gauteng","Johnson & Johnson","1572651"
"gauteng","Pfizer","3956319"
"kwazulu-natal","Johnson & Johnson","1259194"
"kwazulu-natal","Pfizer","2015349"
"limpopo","Johnson & Johnson","1091221"
"limpopo","Pfizer","1064917"
"mpumalanga","Johnson & Johnson","839891"
"mpumalanga","Pfizer","587894"
"northern cape","Johnson & Johnson","218231"
"northern cape","Pfizer","230548"
"north west","Johnson & Johnson","719337"
"north west","Pfizer","633230"
"western cape","Johnson & Johnson","758654"
"western cape","Pfizer","2138742"
