"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","132522","34139","416942"
"EASTERN CAPE","12-17","Male","106593","22978","429096"
"FREE STATE","12-17","Female","86546","34977","161705"
"FREE STATE","12-17","Male","73065","25568","162847"
"GAUTENG","12-17","Female","201438","77300","649047"
"GAUTENG","12-17","Male","165411","60016","648920"
"KWAZULU-NATAL","12-17","Female","139932","45412","647510"
"KWAZULU-NATAL","12-17","Male","98849","29785","658202"
"LIMPOPO","12-17","Female","125883","36631","352420"
"LIMPOPO","12-17","Male","105115","27420","372427"
"MPUMALANGA","12-17","Female","68493","17957","257710"
"MPUMALANGA","12-17","Male","57837","13213","259479"
"NORTHERN CAPE","12-17","Female","13866","4365","69852"
"NORTHERN CAPE","12-17","Male","11308","3255","69047"
"NORTH WEST","12-17","Female","78216","23396","221385"
"NORTH WEST","12-17","Male","65040","17014","223092"
"WESTERN CAPE","12-17","Female","70239","26331","320269"
"WESTERN CAPE","12-17","Male","59696","21864","322848"
