"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154929","55832","416942"
"EASTERN CAPE","12-17","Male","127242","39377","429096"
"FREE STATE","12-17","Female","93256","44288","161705"
"FREE STATE","12-17","Male","79372","33185","162847"
"GAUTENG","12-17","Female","217803","95534","649047"
"GAUTENG","12-17","Male","178919","73656","648920"
"KWAZULU-NATAL","12-17","Female","173525","73196","647510"
"KWAZULU-NATAL","12-17","Male","122032","46956","658202"
"LIMPOPO","12-17","Female","153179","52380","352420"
"LIMPOPO","12-17","Male","132003","38972","372427"
"MPUMALANGA","12-17","Female","79566","27037","257710"
"MPUMALANGA","12-17","Male","66261","19158","259479"
"NORTHERN CAPE","12-17","Female","19173","6585","69852"
"NORTHERN CAPE","12-17","Male","15309","4865","69047"
"NORTH WEST","12-17","Female","84528","30300","221385"
"NORTH WEST","12-17","Male","70338","22118","223092"
"WESTERN CAPE","12-17","Female","71019","28446","320269"
"WESTERN CAPE","12-17","Male","60742","23834","322848"
