"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","913126"
"eastern cape","Pfizer","1328660"
"free state","Johnson & Johnson","485051"
"free state","Pfizer","668989"
"gauteng","Johnson & Johnson","1532403"
"gauteng","Pfizer","3889531"
"kwazulu-natal","Johnson & Johnson","1231694"
"kwazulu-natal","Pfizer","1964737"
"limpopo","Johnson & Johnson","1075170"
"limpopo","Pfizer","1035390"
"mpumalanga","Johnson & Johnson","817912"
"mpumalanga","Pfizer","566633"
"northern cape","Johnson & Johnson","213795"
"northern cape","Pfizer","223869"
"north west","Johnson & Johnson","710891"
"north west","Pfizer","618708"
"western cape","Johnson & Johnson","747036"
"western cape","Pfizer","2112532"
