"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","917451"
"eastern cape","Pfizer","1339529"
"free state","Johnson & Johnson","487146"
"free state","Pfizer","674781"
"gauteng","Johnson & Johnson","1545537"
"gauteng","Pfizer","3911013"
"kwazulu-natal","Johnson & Johnson","1244373"
"kwazulu-natal","Pfizer","1983171"
"limpopo","Johnson & Johnson","1079380"
"limpopo","Pfizer","1043144"
"mpumalanga","Johnson & Johnson","828906"
"mpumalanga","Pfizer","574323"
"northern cape","Johnson & Johnson","215961"
"northern cape","Pfizer","226740"
"north west","Johnson & Johnson","713534"
"north west","Pfizer","622907"
"western cape","Johnson & Johnson","750760"
"western cape","Pfizer","2120963"
