"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","159748","66011","416942"
"EASTERN CAPE","12-17","Male","132181","48350","429096"
"FREE STATE","12-17","Female","92287","45542","161705"
"FREE STATE","12-17","Male","78772","34387","162847"
"GAUTENG","12-17","Female","213541","96060","649047"
"GAUTENG","12-17","Male","175748","74502","648920"
"KWAZULU-NATAL","12-17","Female","173729","81601","647510"
"KWAZULU-NATAL","12-17","Male","122354","52016","658202"
"LIMPOPO","12-17","Female","156370","56601","352420"
"LIMPOPO","12-17","Male","134079","42047","372427"
"MPUMALANGA","12-17","Female","81173","30487","257710"
"MPUMALANGA","12-17","Male","66999","21332","259479"
"NORTHERN CAPE","12-17","Female","20247","8395","69852"
"NORTHERN CAPE","12-17","Male","16178","6215","69047"
"NORTH WEST","12-17","Female","82718","30321","221385"
"NORTH WEST","12-17","Male","69057","22460","223092"
"WESTERN CAPE","12-17","Female","71419","29400","320269"
"WESTERN CAPE","12-17","Male","61381","24701","322848"
