"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919907"
"eastern cape","Pfizer","1349293"
"free state","Johnson & Johnson","488161"
"free state","Pfizer","679274"
"gauteng","Johnson & Johnson","1554303"
"gauteng","Pfizer","3928755"
"kwazulu-natal","Johnson & Johnson","1249905"
"kwazulu-natal","Pfizer","1996019"
"limpopo","Johnson & Johnson","1082926"
"limpopo","Pfizer","1050461"
"mpumalanga","Johnson & Johnson","833019"
"mpumalanga","Pfizer","579154"
"northern cape","Johnson & Johnson","216430"
"northern cape","Pfizer","227931"
"north west","Johnson & Johnson","715256"
"north west","Pfizer","626275"
"western cape","Johnson & Johnson","753470"
"western cape","Pfizer","2127712"
