"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154978","55649","416942"
"EASTERN CAPE","12-17","Male","127232","39235","429096"
"FREE STATE","12-17","Female","93291","44168","161705"
"FREE STATE","12-17","Male","79384","33061","162847"
"GAUTENG","12-17","Female","217802","95253","649047"
"GAUTENG","12-17","Male","178863","73407","648920"
"KWAZULU-NATAL","12-17","Female","173288","72782","647510"
"KWAZULU-NATAL","12-17","Male","121836","46738","658202"
"LIMPOPO","12-17","Female","153180","52236","352420"
"LIMPOPO","12-17","Male","131941","38833","372427"
"MPUMALANGA","12-17","Female","79541","26945","257710"
"MPUMALANGA","12-17","Male","66276","19093","259479"
"NORTHERN CAPE","12-17","Female","19123","6514","69852"
"NORTHERN CAPE","12-17","Male","15265","4830","69047"
"NORTH WEST","12-17","Female","84503","30243","221385"
"NORTH WEST","12-17","Male","70335","22048","223092"
"WESTERN CAPE","12-17","Female","71080","28352","320269"
"WESTERN CAPE","12-17","Male","60739","23774","322848"
