"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","912204"
"eastern cape","Pfizer","1327354"
"free state","Johnson & Johnson","484626"
"free state","Pfizer","668274"
"gauteng","Johnson & Johnson","1530289"
"gauteng","Pfizer","3886367"
"kwazulu-natal","Johnson & Johnson","1230165"
"kwazulu-natal","Pfizer","1962213"
"limpopo","Johnson & Johnson","1074645"
"limpopo","Pfizer","1034527"
"mpumalanga","Johnson & Johnson","816447"
"mpumalanga","Pfizer","565819"
"northern cape","Johnson & Johnson","213532"
"northern cape","Pfizer","223423"
"north west","Johnson & Johnson","710380"
"north west","Pfizer","618059"
"western cape","Johnson & Johnson","746464"
"western cape","Pfizer","2111621"
