"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919041"
"eastern cape","Pfizer","1345332"
"free state","Johnson & Johnson","487759"
"free state","Pfizer","677515"
"gauteng","Johnson & Johnson","1550909"
"gauteng","Pfizer","3921902"
"kwazulu-natal","Johnson & Johnson","1248193"
"kwazulu-natal","Pfizer","1991693"
"limpopo","Johnson & Johnson","1081617"
"limpopo","Pfizer","1047568"
"mpumalanga","Johnson & Johnson","831556"
"mpumalanga","Pfizer","577196"
"northern cape","Johnson & Johnson","216300"
"northern cape","Pfizer","227497"
"north west","Johnson & Johnson","714587"
"north west","Pfizer","625026"
"western cape","Johnson & Johnson","752428"
"western cape","Pfizer","2125239"
