"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919296"
"eastern cape","Pfizer","1346320"
"free state","Johnson & Johnson","487883"
"free state","Pfizer","677978"
"gauteng","Johnson & Johnson","1551809"
"gauteng","Pfizer","3923710"
"kwazulu-natal","Johnson & Johnson","1248694"
"kwazulu-natal","Pfizer","1992744"
"limpopo","Johnson & Johnson","1082237"
"limpopo","Pfizer","1048276"
"mpumalanga","Johnson & Johnson","832016"
"mpumalanga","Pfizer","577687"
"northern cape","Johnson & Johnson","216320"
"northern cape","Pfizer","227620"
"north west","Johnson & Johnson","714774"
"north west","Pfizer","625312"
"western cape","Johnson & Johnson","752715"
"western cape","Pfizer","2125844"
