"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158771","64216","416942"
"EASTERN CAPE","12-17","Male","131270","46728","429096"
"FREE STATE","12-17","Female","92550","45488","161705"
"FREE STATE","12-17","Male","78961","34299","162847"
"GAUTENG","12-17","Female","214285","96182","649047"
"GAUTENG","12-17","Male","176318","74502","648920"
"KWAZULU-NATAL","12-17","Female","174374","81241","647510"
"KWAZULU-NATAL","12-17","Male","122704","51641","658202"
"LIMPOPO","12-17","Female","156370","55974","352420"
"LIMPOPO","12-17","Male","133990","41505","372427"
"MPUMALANGA","12-17","Female","81138","29828","257710"
"MPUMALANGA","12-17","Male","67026","20891","259479"
"NORTHERN CAPE","12-17","Female","20231","8277","69852"
"NORTHERN CAPE","12-17","Male","16179","6116","69047"
"NORTH WEST","12-17","Female","83081","30390","221385"
"NORTH WEST","12-17","Male","69330","22480","223092"
"WESTERN CAPE","12-17","Female","71357","29166","320269"
"WESTERN CAPE","12-17","Male","61311","24549","322848"
