"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","140799","40375","416942"
"EASTERN CAPE","12-17","Male","113594","27453","429096"
"FREE STATE","12-17","Female","88752","37745","161705"
"FREE STATE","12-17","Male","75232","27683","162847"
"GAUTENG","12-17","Female","206253","83590","649047"
"GAUTENG","12-17","Male","169260","64350","648920"
"KWAZULU-NATAL","12-17","Female","147538","53222","647510"
"KWAZULU-NATAL","12-17","Male","103974","34265","658202"
"LIMPOPO","12-17","Female","132560","40075","352420"
"LIMPOPO","12-17","Male","110800","29770","372427"
"MPUMALANGA","12-17","Female","72083","20259","257710"
"MPUMALANGA","12-17","Male","60387","14745","259479"
"NORTHERN CAPE","12-17","Female","15314","4740","69852"
"NORTHERN CAPE","12-17","Male","12362","3556","69047"
"NORTH WEST","12-17","Female","80482","25580","221385"
"NORTH WEST","12-17","Male","66692","18519","223092"
"WESTERN CAPE","12-17","Female","70463","26842","320269"
"WESTERN CAPE","12-17","Male","59927","22327","322848"
