"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","159910","66185","416942"
"EASTERN CAPE","12-17","Male","132376","48598","429096"
"FREE STATE","12-17","Female","92278","45559","161705"
"FREE STATE","12-17","Male","78754","34406","162847"
"GAUTENG","12-17","Female","213486","96061","649047"
"GAUTENG","12-17","Male","175713","74513","648920"
"KWAZULU-NATAL","12-17","Female","173709","81626","647510"
"KWAZULU-NATAL","12-17","Male","122343","52032","658202"
"LIMPOPO","12-17","Female","156415","56654","352420"
"LIMPOPO","12-17","Male","134131","42120","372427"
"MPUMALANGA","12-17","Female","81254","30609","257710"
"MPUMALANGA","12-17","Male","67043","21402","259479"
"NORTHERN CAPE","12-17","Female","20261","8409","69852"
"NORTHERN CAPE","12-17","Male","16187","6217","69047"
"NORTH WEST","12-17","Female","82685","30319","221385"
"NORTH WEST","12-17","Male","69035","22458","223092"
"WESTERN CAPE","12-17","Female","71437","29414","320269"
"WESTERN CAPE","12-17","Male","61384","24716","322848"
