"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920007"
"eastern cape","Pfizer","1349647"
"free state","Johnson & Johnson","488208"
"free state","Pfizer","679414"
"gauteng","Johnson & Johnson","1554638"
"gauteng","Pfizer","3929244"
"kwazulu-natal","Johnson & Johnson","1250076"
"kwazulu-natal","Pfizer","1996400"
"limpopo","Johnson & Johnson","1083037"
"limpopo","Pfizer","1050661"
"mpumalanga","Johnson & Johnson","833135"
"mpumalanga","Pfizer","579313"
"northern cape","Johnson & Johnson","216446"
"northern cape","Pfizer","227967"
"north west","Johnson & Johnson","715300"
"north west","Pfizer","626366"
"western cape","Johnson & Johnson","753569"
"western cape","Pfizer","2127910"
