"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919422"
"eastern cape","Pfizer","1346939"
"free state","Johnson & Johnson","487965"
"free state","Pfizer","678257"
"gauteng","Johnson & Johnson","1552431"
"gauteng","Pfizer","3924887"
"kwazulu-natal","Johnson & Johnson","1248989"
"kwazulu-natal","Pfizer","1993394"
"limpopo","Johnson & Johnson","1082427"
"limpopo","Pfizer","1048725"
"mpumalanga","Johnson & Johnson","832246"
"mpumalanga","Pfizer","578015"
"northern cape","Johnson & Johnson","216356"
"northern cape","Pfizer","227725"
"north west","Johnson & Johnson","714858"
"north west","Pfizer","625502"
"western cape","Johnson & Johnson","752916"
"western cape","Pfizer","2126288"
