"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","905541"
"eastern cape","Pfizer","1317816"
"free state","Johnson & Johnson","481456"
"free state","Pfizer","663597"
"gauteng","Johnson & Johnson","1514307"
"gauteng","Pfizer","3863772"
"kwazulu-natal","Johnson & Johnson","1217496"
"kwazulu-natal","Pfizer","1942820"
"limpopo","Johnson & Johnson","1067683"
"limpopo","Pfizer","1026785"
"mpumalanga","Johnson & Johnson","804985"
"mpumalanga","Pfizer","560083"
"northern cape","Johnson & Johnson","211967"
"northern cape","Pfizer","221246"
"north west","Johnson & Johnson","706451"
"north west","Pfizer","613385"
"western cape","Johnson & Johnson","741627"
"western cape","Pfizer","2103753"
