"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","152329","50696","416942"
"EASTERN CAPE","12-17","Male","124116","35224","429096"
"FREE STATE","12-17","Female","92686","42260","161705"
"FREE STATE","12-17","Male","78657","31554","162847"
"GAUTENG","12-17","Female","215026","91808","649047"
"GAUTENG","12-17","Male","176307","70434","648920"
"KWAZULU-NATAL","12-17","Female","165244","66039","647510"
"KWAZULU-NATAL","12-17","Male","115901","41955","658202"
"LIMPOPO","12-17","Female","145473","47728","352420"
"LIMPOPO","12-17","Male","122857","35272","372427"
"MPUMALANGA","12-17","Female","77769","24455","257710"
"MPUMALANGA","12-17","Male","64584","17544","259479"
"NORTHERN CAPE","12-17","Female","18127","5789","69852"
"NORTHERN CAPE","12-17","Male","14539","4342","69047"
"NORTH WEST","12-17","Female","83725","28903","221385"
"NORTH WEST","12-17","Male","69546","20876","223092"
"WESTERN CAPE","12-17","Female","70739","27643","320269"
"WESTERN CAPE","12-17","Male","60307","23020","322848"
