"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920358"
"eastern cape","Pfizer","1351088"
"free state","Johnson & Johnson","488330"
"free state","Pfizer","680042"
"gauteng","Johnson & Johnson","1555863"
"gauteng","Pfizer","3931263"
"kwazulu-natal","Johnson & Johnson","1250822"
"kwazulu-natal","Pfizer","1998060"
"limpopo","Johnson & Johnson","1083512"
"limpopo","Pfizer","1051547"
"mpumalanga","Johnson & Johnson","833630"
"mpumalanga","Pfizer","579995"
"northern cape","Johnson & Johnson","216525"
"northern cape","Pfizer","228153"
"north west","Johnson & Johnson","715516"
"north west","Pfizer","626776"
"western cape","Johnson & Johnson","753989"
"western cape","Pfizer","2128783"
