"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","161064","67028","416942"
"EASTERN CAPE","12-17","Male","133548","49354","429096"
"FREE STATE","12-17","Female","92277","45666","161705"
"FREE STATE","12-17","Male","78765","34483","162847"
"GAUTENG","12-17","Female","213202","96013","649047"
"GAUTENG","12-17","Male","175521","74491","648920"
"KWAZULU-NATAL","12-17","Female","173572","81725","647510"
"KWAZULU-NATAL","12-17","Male","122219","52132","658202"
"LIMPOPO","12-17","Female","156556","56931","352420"
"LIMPOPO","12-17","Male","134216","42331","372427"
"MPUMALANGA","12-17","Female","81386","30969","257710"
"MPUMALANGA","12-17","Male","67132","21623","259479"
"NORTHERN CAPE","12-17","Female","20364","8516","69852"
"NORTHERN CAPE","12-17","Male","16274","6288","69047"
"NORTH WEST","12-17","Female","82550","30292","221385"
"NORTH WEST","12-17","Male","68938","22481","223092"
"WESTERN CAPE","12-17","Female","71351","29450","320269"
"WESTERN CAPE","12-17","Male","61329","24777","322848"
