"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","911900"
"eastern cape","Pfizer","1326774"
"free state","Johnson & Johnson","484501"
"free state","Pfizer","668008"
"gauteng","Johnson & Johnson","1529576"
"gauteng","Pfizer","3885223"
"kwazulu-natal","Johnson & Johnson","1229620"
"kwazulu-natal","Pfizer","1961324"
"limpopo","Johnson & Johnson","1074456"
"limpopo","Pfizer","1034115"
"mpumalanga","Johnson & Johnson","815919"
"mpumalanga","Pfizer","565538"
"northern cape","Johnson & Johnson","213469"
"northern cape","Pfizer","223313"
"north west","Johnson & Johnson","710173"
"north west","Pfizer","617799"
"western cape","Johnson & Johnson","746256"
"western cape","Pfizer","2111219"
