"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","924049"
"eastern cape","Pfizer","1367253"
"free state","Johnson & Johnson","489405"
"free state","Pfizer","686454"
"gauteng","Johnson & Johnson","1571766"
"gauteng","Pfizer","3955012"
"kwazulu-natal","Johnson & Johnson","1258858"
"kwazulu-natal","Pfizer","2014582"
"limpopo","Johnson & Johnson","1090979"
"limpopo","Pfizer","1064243"
"mpumalanga","Johnson & Johnson","839641"
"mpumalanga","Pfizer","587552"
"northern cape","Johnson & Johnson","218185"
"northern cape","Pfizer","230381"
"north west","Johnson & Johnson","719111"
"north west","Pfizer","632763"
"western cape","Johnson & Johnson","758436"
"western cape","Pfizer","2138296"
