"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","911551"
"eastern cape","Pfizer","1326120"
"free state","Johnson & Johnson","484292"
"free state","Pfizer","667672"
"gauteng","Johnson & Johnson","1528681"
"gauteng","Pfizer","3883741"
"kwazulu-natal","Johnson & Johnson","1228916"
"kwazulu-natal","Pfizer","1960051"
"limpopo","Johnson & Johnson","1074174"
"limpopo","Pfizer","1033631"
"mpumalanga","Johnson & Johnson","815333"
"mpumalanga","Pfizer","565193"
"northern cape","Johnson & Johnson","213373"
"northern cape","Pfizer","223105"
"north west","Johnson & Johnson","710038"
"north west","Pfizer","617472"
"western cape","Johnson & Johnson","746017"
"western cape","Pfizer","2110709"
