"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","155118","55549","416942"
"EASTERN CAPE","12-17","Male","127213","39134","429096"
"FREE STATE","12-17","Female","93360","44018","161705"
"FREE STATE","12-17","Male","79403","32946","162847"
"GAUTENG","12-17","Female","217837","95017","649047"
"GAUTENG","12-17","Male","178848","73214","648920"
"KWAZULU-NATAL","12-17","Female","173179","72551","647510"
"KWAZULU-NATAL","12-17","Male","121726","46553","658202"
"LIMPOPO","12-17","Female","153126","52023","352420"
"LIMPOPO","12-17","Male","131867","38669","372427"
"MPUMALANGA","12-17","Female","79525","26852","257710"
"MPUMALANGA","12-17","Male","66270","19022","259479"
"NORTHERN CAPE","12-17","Female","19112","6463","69852"
"NORTHERN CAPE","12-17","Male","15256","4802","69047"
"NORTH WEST","12-17","Female","84574","30179","221385"
"NORTH WEST","12-17","Male","70385","21980","223092"
"WESTERN CAPE","12-17","Female","71152","28313","320269"
"WESTERN CAPE","12-17","Male","60805","23743","322848"
