"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158402","63279","416942"
"EASTERN CAPE","12-17","Male","130927","46011","429096"
"FREE STATE","12-17","Female","92647","45473","161705"
"FREE STATE","12-17","Male","78992","34277","162847"
"GAUTENG","12-17","Female","214516","96094","649047"
"GAUTENG","12-17","Male","176458","74408","648920"
"KWAZULU-NATAL","12-17","Female","174526","81031","647510"
"KWAZULU-NATAL","12-17","Male","122752","51458","658202"
"LIMPOPO","12-17","Female","156223","55691","352420"
"LIMPOPO","12-17","Male","133847","41286","372427"
"MPUMALANGA","12-17","Female","81060","29547","257710"
"MPUMALANGA","12-17","Male","66980","20734","259479"
"NORTHERN CAPE","12-17","Female","20258","8234","69852"
"NORTHERN CAPE","12-17","Male","16181","6065","69047"
"NORTH WEST","12-17","Female","83216","30375","221385"
"NORTH WEST","12-17","Male","69392","22408","223092"
"WESTERN CAPE","12-17","Female","71285","29119","320269"
"WESTERN CAPE","12-17","Male","61251","24487","322848"
