"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919031"
"eastern cape","Pfizer","1345198"
"free state","Johnson & Johnson","487759"
"free state","Pfizer","677442"
"gauteng","Johnson & Johnson","1550898"
"gauteng","Pfizer","3921729"
"kwazulu-natal","Johnson & Johnson","1248179"
"kwazulu-natal","Pfizer","1991547"
"limpopo","Johnson & Johnson","1081614"
"limpopo","Pfizer","1047447"
"mpumalanga","Johnson & Johnson","831546"
"mpumalanga","Pfizer","577138"
"northern cape","Johnson & Johnson","216300"
"northern cape","Pfizer","227485"
"north west","Johnson & Johnson","714579"
"north west","Pfizer","624953"
"western cape","Johnson & Johnson","752424"
"western cape","Pfizer","2125170"
