"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921123"
"eastern cape","Pfizer","1355182"
"free state","Johnson & Johnson","488650"
"free state","Pfizer","682043"
"gauteng","Johnson & Johnson","1559441"
"gauteng","Pfizer","3937656"
"kwazulu-natal","Johnson & Johnson","1252821"
"kwazulu-natal","Pfizer","2002901"
"limpopo","Johnson & Johnson","1085028"
"limpopo","Pfizer","1054770"
"mpumalanga","Johnson & Johnson","835196"
"mpumalanga","Pfizer","581923"
"northern cape","Johnson & Johnson","216922"
"northern cape","Pfizer","228752"
"north west","Johnson & Johnson","716255"
"north west","Pfizer","628329"
"western cape","Johnson & Johnson","755038"
"western cape","Pfizer","2131264"
