"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","892288"
"eastern cape","Pfizer","1304342"
"free state","Johnson & Johnson","475425"
"free state","Pfizer","655433"
"gauteng","Johnson & Johnson","1485841"
"gauteng","Pfizer","3823777"
"kwazulu-natal","Johnson & Johnson","1195004"
"kwazulu-natal","Pfizer","1910572"
"limpopo","Johnson & Johnson","1053356"
"limpopo","Pfizer","1015091"
"mpumalanga","Johnson & Johnson","787986"
"mpumalanga","Pfizer","551655"
"northern cape","Johnson & Johnson","209307"
"northern cape","Pfizer","218312"
"north west","Johnson & Johnson","697831"
"north west","Pfizer","606291"
"western cape","Johnson & Johnson","733128"
"western cape","Pfizer","2089569"
