"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","135263","36364","416942"
"EASTERN CAPE","12-17","Male","109188","24600","429096"
"FREE STATE","12-17","Female","87554","36135","161705"
"FREE STATE","12-17","Male","74071","26451","162847"
"GAUTENG","12-17","Female","203146","79499","649047"
"GAUTENG","12-17","Male","166822","61587","648920"
"KWAZULU-NATAL","12-17","Female","142961","48303","647510"
"KWAZULU-NATAL","12-17","Male","100815","31484","658202"
"LIMPOPO","12-17","Female","128010","37886","352420"
"LIMPOPO","12-17","Male","106890","28224","372427"
"MPUMALANGA","12-17","Female","69812","18632","257710"
"MPUMALANGA","12-17","Male","58762","13674","259479"
"NORTHERN CAPE","12-17","Female","14402","4479","69852"
"NORTHERN CAPE","12-17","Male","11753","3347","69047"
"NORTH WEST","12-17","Female","78755","24207","221385"
"NORTH WEST","12-17","Male","65431","17581","223092"
"WESTERN CAPE","12-17","Female","70300","26548","320269"
"WESTERN CAPE","12-17","Male","59783","22045","322848"
