"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","918208"
"eastern cape","Pfizer","1342537"
"free state","Johnson & Johnson","487442"
"free state","Pfizer","676165"
"gauteng","Johnson & Johnson","1548334"
"gauteng","Pfizer","3916805"
"kwazulu-natal","Johnson & Johnson","1246642"
"kwazulu-natal","Pfizer","1987917"
"limpopo","Johnson & Johnson","1080415"
"limpopo","Pfizer","1045430"
"mpumalanga","Johnson & Johnson","830304"
"mpumalanga","Pfizer","575832"
"northern cape","Johnson & Johnson","216118"
"northern cape","Pfizer","227161"
"north west","Johnson & Johnson","714059"
"north west","Pfizer","623984"
"western cape","Johnson & Johnson","751496"
"western cape","Pfizer","2123092"
