"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","157693","62028","416942"
"EASTERN CAPE","12-17","Male","130138","44901","429096"
"FREE STATE","12-17","Female","92686","45355","161705"
"FREE STATE","12-17","Male","79009","34222","162847"
"GAUTENG","12-17","Female","215161","96087","649047"
"GAUTENG","12-17","Male","176938","74399","648920"
"KWAZULU-NATAL","12-17","Female","174483","79987","647510"
"KWAZULU-NATAL","12-17","Male","122777","50876","658202"
"LIMPOPO","12-17","Female","155752","54986","352420"
"LIMPOPO","12-17","Male","133538","40832","372427"
"MPUMALANGA","12-17","Female","80898","28959","257710"
"MPUMALANGA","12-17","Male","66895","20313","259479"
"NORTHERN CAPE","12-17","Female","20186","8115","69852"
"NORTHERN CAPE","12-17","Male","16121","5985","69047"
"NORTH WEST","12-17","Female","83502","30371","221385"
"NORTH WEST","12-17","Male","69648","22395","223092"
"WESTERN CAPE","12-17","Female","70937","28903","320269"
"WESTERN CAPE","12-17","Male","60898","24285","322848"
