"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","895462"
"eastern cape","Pfizer","1307205"
"free state","Johnson & Johnson","476904"
"free state","Pfizer","657089"
"gauteng","Johnson & Johnson","1491691"
"gauteng","Pfizer","3831906"
"kwazulu-natal","Johnson & Johnson","1198959"
"kwazulu-natal","Pfizer","1916274"
"limpopo","Johnson & Johnson","1056601"
"limpopo","Pfizer","1017480"
"mpumalanga","Johnson & Johnson","791813"
"mpumalanga","Pfizer","553297"
"northern cape","Johnson & Johnson","209942"
"northern cape","Pfizer","218899"
"north west","Johnson & Johnson","699934"
"north west","Pfizer","607662"
"western cape","Johnson & Johnson","734837"
"western cape","Pfizer","2092403"
