"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","897819"
"eastern cape","Pfizer","1309617"
"free state","Johnson & Johnson","477877"
"free state","Pfizer","658534"
"gauteng","Johnson & Johnson","1496616"
"gauteng","Pfizer","3838924"
"kwazulu-natal","Johnson & Johnson","1202810"
"kwazulu-natal","Pfizer","1921554"
"limpopo","Johnson & Johnson","1058749"
"limpopo","Pfizer","1019396"
"mpumalanga","Johnson & Johnson","794252"
"mpumalanga","Pfizer","554737"
"northern cape","Johnson & Johnson","210378"
"northern cape","Pfizer","219423"
"north west","Johnson & Johnson","701523"
"north west","Pfizer","608915"
"western cape","Johnson & Johnson","736399"
"western cape","Pfizer","2094878"
