"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14552","5493","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12403","4504","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19247","10660","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15236","7548","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8485","3077","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7498","2410","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11164","6451","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9425","4823","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13631","5357","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11200","3920","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17771","6727","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15029","4815","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26352","15777","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23313","12647","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4247","1194","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3473","814","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51349","21775","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42087","16753","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15274","6878","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12221","5205","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19585","10296","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16054","7804","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6714","2889","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4385","1796","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26118","12403","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22688","10553","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13288","7906","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10456","5743","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8828","4449","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5374","2482","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12636","5157","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8301","3161","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13218","5693","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8681","3196","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14149","5778","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10244","3823","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20407","10297","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","12941","5418","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14856","6321","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9150","3444","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15454","6968","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10428","4095","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24057","12804","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17314","8106","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","37005","15496","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31738","11715","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37321","13059","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30759","9452","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26366","10035","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25840","8426","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","38137","12729","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","30905","8781","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17767","7032","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14878","5202","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","48009","19932","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36774","13139","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","17061","6596","80945"
"MPUMALANGA","NKANGALA DM","12-17","Male","17688","5546","82708"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Female","7607","3723","22463"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Male","6319","2813","23371"
"NORTHERN CAPE","NAMAKWA DM","12-17","Female","1714","668","5781"
"NORTHERN CAPE","NAMAKWA DM","12-17","Male","1378","503","5620"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Female","3599","1593","11577"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Male","2750","1143","11573"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Female","32242","13463","88192"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Male","26756","9929","91106"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Female","21374","7494","56490"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Male","17828","5477","56280"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Female","9337","4121","44783"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Male","8184","3410","45341"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Female","814","383","4653"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Male","628","279","4028"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Female","6296","2567","31612"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Male","5340","1970","30675"
"WESTERN CAPE","OVERBERG DM","12-17","Female","3019","1006","13406"
"WESTERN CAPE","OVERBERG DM","12-17","Male","2382","776","13535"
"WESTERN CAPE","WEST COAST DM","12-17","Female","4180","1888","22541"
"WESTERN CAPE","WEST COAST DM","12-17","Male","3643","1434","22568"
