"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922983"
"eastern cape","Pfizer","1363741"
"free state","Johnson & Johnson","489230"
"free state","Pfizer","685313"
"gauteng","Johnson & Johnson","1568120"
"gauteng","Pfizer","3950551"
"kwazulu-natal","Johnson & Johnson","1257145"
"kwazulu-natal","Pfizer","2011712"
"limpopo","Johnson & Johnson","1089690"
"limpopo","Pfizer","1061619"
"mpumalanga","Johnson & Johnson","838575"
"mpumalanga","Pfizer","586265"
"northern cape","Johnson & Johnson","217809"
"northern cape","Pfizer","229930"
"north west","Johnson & Johnson","718275"
"north west","Pfizer","631595"
"western cape","Johnson & Johnson","757348"
"western cape","Pfizer","2136359"
