"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","903112"
"eastern cape","Pfizer","1314956"
"free state","Johnson & Johnson","480266"
"free state","Pfizer","661925"
"gauteng","Johnson & Johnson","1507924"
"gauteng","Pfizer","3855165"
"kwazulu-natal","Johnson & Johnson","1213194"
"kwazulu-natal","Pfizer","1936192"
"limpopo","Johnson & Johnson","1064368"
"limpopo","Pfizer","1023904"
"mpumalanga","Johnson & Johnson","800998"
"mpumalanga","Pfizer","558023"
"northern cape","Johnson & Johnson","211414"
"northern cape","Pfizer","220554"
"north west","Johnson & Johnson","704771"
"north west","Pfizer","611894"
"western cape","Johnson & Johnson","739424"
"western cape","Pfizer","2100765"
