"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","149772","47904","416942"
"EASTERN CAPE","12-17","Male","121894","32897","429096"
"FREE STATE","12-17","Female","91534","41357","161705"
"FREE STATE","12-17","Male","77547","30619","162847"
"GAUTENG","12-17","Female","212818","90098","649047"
"GAUTENG","12-17","Male","174583","69109","648920"
"KWAZULU-NATAL","12-17","Female","160641","62680","647510"
"KWAZULU-NATAL","12-17","Male","112710","39791","658202"
"LIMPOPO","12-17","Female","141117","45484","352420"
"LIMPOPO","12-17","Male","118536","33493","372427"
"MPUMALANGA","12-17","Female","75935","22926","257710"
"MPUMALANGA","12-17","Male","63248","16457","259479"
"NORTHERN CAPE","12-17","Female","17509","5472","69852"
"NORTHERN CAPE","12-17","Male","14054","4080","69047"
"NORTH WEST","12-17","Female","82843","28107","221385"
"NORTH WEST","12-17","Male","68708","20287","223092"
"WESTERN CAPE","12-17","Female","70615","27442","320269"
"WESTERN CAPE","12-17","Male","60146","22843","322848"
